seed,phase,phase_name,phase_total_runs,phase_epochs_per_run,run_idx,run_total,lr,wd,bs,drop_path_rate,epoch,epoch_total,loss,train_acc_pct,test_acc_pct
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,15,20,0.9072,67.77,68.07
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,16,20,0.8745,68.91,67.99
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,17,20,0.8543,69.61,68.56
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,18,20,0.8233,70.8,69.76
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,19,20,0.8092,71.33,69.88
[38042],1,baseline,27,20,4,27,0.0001,0.07,256,0.0,20,20,0.7989,71.36,69.98
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,1,20,2.0581,23.4,27.69
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,2,20,1.8352,31.81,34.9
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,3,20,1.7387,35.79,35.85
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,4,20,1.6576,39.06,41.5
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,5,20,1.5278,44.51,43.95
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,6,20,1.4135,48.89,47.47
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,7,20,1.3296,52.09,54.15
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,8,20,1.2521,54.82,54.27
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,9,20,1.1917,56.93,57.01
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,10,20,1.1376,59.22,60.28
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,11,20,1.0962,60.74,63.03
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,12,20,1.0555,62.01,62.32
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,13,20,1.0243,63.3,64.49
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,14,20,0.9937,64.62,65.0
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,15,20,0.9647,65.57,65.75
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,16,20,0.938,66.57,67.15
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,17,20,0.9145,67.47,66.82
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,18,20,0.8955,68.19,67.77
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,19,20,0.8762,68.88,68.87
[38042],1,baseline,27,20,5,27,0.0001,0.07,256,0.1,20,20,0.8705,69.09,68.95
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,1,20,2.0711,22.87,28.95
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,2,20,1.8771,30.52,32.24
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,3,20,1.7624,34.97,36.33
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,4,20,1.6731,38.43,39.61
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,5,20,1.5577,43.34,45.14
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,6,20,1.4302,48.2,49.07
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,7,20,1.3298,51.63,53.62
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,8,20,1.2579,54.71,55.54
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,9,20,1.1899,57.14,58.71
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,10,20,1.137,58.94,60.18
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,11,20,1.0992,60.66,62.31
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,12,20,1.0633,61.9,63.04
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,13,20,1.0309,63.16,64.08
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,14,20,0.9939,64.5,65.52
[38042],1,baseline,27,20,6,27,0.0001,0.07,256,0.2,15,20,0.9698,65.42,65.96
