seed,epoch,epoch_total,member,train_batch_size,data_build_s,train_time_s,eval_time_s,loss,train_acc_pct,test_acc_pct,lr_sched_start,lr_sched_end,pbt_lr,pbt_batch_size,pbt_weight_decay,pbt_drop_path,pbt_warmup_epochs
38042,11,70,1,64,1.675734519958496,33.30758881568909,1.3587217330932617,1.1186,59.87,60.19,1.16e-07,9.07e-05,9.07e-05,64,0.13,0.106,5.0
38042,11,70,2,256,1.6864500045776367,9.967690706253052,1.4262070655822754,1.1768,57.78,58.78,0.000459,0.000456,0.000456,256,0.13,0.106,5.0
38042,11,70,3,64,1.6800780296325684,34.531630754470825,1.3913700580596924,1.1537,58.4,59.22,0.000259,0.000257,0.000257,64,0.15,0.079,5.0
38042,11,70,4,128,1.6894874572753906,17.301063299179077,1.4776513576507568,1.1758,57.65,57.28,0.000351,0.000349,0.000349,128,0.118,0.127,5.0
38042,12,70,0,64,1.6828908920288086,34.37865924835205,1.453247308731079,1.1263,59.72,59.29,0.000185,0.000184,0.000184,64,,,
38042,12,70,1,64,1.6844549179077148,33.6474871635437,1.388908863067627,1.1315,59.36,58.98,9.07e-05,0.000181,0.000181,64,0.13,0.106,5.0
38042,12,70,2,256,1.6726913452148438,9.978597640991211,1.3582332134246826,1.1422,59.06,57.74,0.000456,0.000453,0.000453,256,0.13,0.106,5.0
38042,12,70,3,64,1.6848454475402832,33.86960768699646,1.433166265487671,1.1138,60.07,60.53,0.000257,0.000255,0.000255,64,0.15,0.079,5.0
38042,12,70,4,128,1.6755163669586182,17.96511197090149,1.3653123378753662,1.142,59.13,59.79,0.000349,0.000346,0.000346,128,0.118,0.127,5.0
38042,13,70,0,64,1.6875286102294922,34.91166305541992,1.4599595069885254,1.0976,60.78,62.07,0.000184,0.000182,0.000182,64,,,
38042,13,70,1,64,1.6734275817871094,34.58580207824707,1.3806099891662598,1.1598,58.47,58.49,0.000181,0.000272,0.000272,64,0.13,0.106,5.0
38042,13,70,2,256,1.6874573230743408,9.937227249145508,1.3915846347808838,1.1088,60.05,60.7,0.000453,0.000449,0.000449,256,0.13,0.106,5.0
38042,13,70,3,64,1.6749050617218018,33.661864042282104,1.3778412342071533,1.0753,61.49,61.33,0.000255,0.000253,0.000253,64,0.15,0.079,5.0
38042,13,70,4,128,1.6935687065124512,17.56551480293274,1.3963088989257812,1.1112,60.33,59.56,0.000346,0.000343,0.000343,128,0.118,0.127,5.0
38042,14,70,0,64,1.6843459606170654,35.43871355056763,1.3944456577301025,1.0628,62.14,62.74,0.000182,0.000181,0.000181,64,,,
38042,14,70,1,64,1.6883018016815186,34.6538245677948,1.383500576019287,1.1847,57.54,56.73,0.000272,0.000362,0.000362,64,0.13,0.106,5.0
38042,14,70,2,256,1.679865837097168,9.947837829589844,1.3612949848175049,1.0793,61.39,62.12,0.000449,0.000444,0.000444,256,0.13,0.106,5.0
38042,14,70,3,64,1.6874415874481201,34.04499650001526,1.396632194519043,1.0414,62.98,63.67,0.000253,0.00025,0.00025,64,0.15,0.079,5.0
38042,14,70,4,128,1.6729404926300049,17.63220453262329,1.392500877380371,1.0735,61.81,62.47,0.000343,0.00034,0.00034,128,0.118,0.127,5.0
38042,15,70,0,64,1.684804916381836,33.386786699295044,1.3910808563232422,1.0342,62.98,61.86,0.000181,0.000179,0.000179,64,,,
38042,15,70,1,64,1.6739170551300049,33.20790386199951,1.371931552886963,1.1954,57.14,58.98,0.000362,0.000453,0.000453,64,0.13,0.106,5.0
38042,15,70,2,256,1.6910104751586914,10.098387718200684,1.3979904651641846,1.0379,62.97,63.59,0.000444,0.000439,0.000439,256,0.13,0.106,5.0
38042,15,70,3,64,1.6824028491973877,33.70604848861694,1.4617581367492676,1.0126,63.99,63.63,0.00025,0.000247,0.000247,64,0.15,0.079,5.0
38042,15,70,4,128,1.6884760856628418,17.92268133163452,1.417257308959961,1.0473,62.76,64.45,0.00034,0.000336,0.000336,128,0.118,0.127,5.0
38042,16,70,0,64,1.6861612796783447,33.923258781433105,1.388312816619873,1.0113,63.91,63.65,0.000179,0.000176,0.000176,64,,,
38042,16,70,1,64,1.6858136653900146,34.67817234992981,1.417285680770874,0.9444,66.36,65.86,1.57e-07,0.000123,0.000123,64,0.129,0.089,5.0
38042,16,70,2,256,1.6829931735992432,10.300172328948975,1.385941743850708,1.0195,63.52,64.4,0.000439,0.000434,0.000434,256,0.13,0.106,5.0
38042,16,70,3,64,1.6869094371795654,35.90492486953735,1.3806939125061035,0.9789,65.12,65.62,0.000247,0.000244,0.000244,64,0.15,0.079,5.0
38042,16,70,4,128,1.678372859954834,17.911654472351074,1.3693981170654297,1.018,63.85,64.45,0.000336,0.000332,0.000332,128,0.118,0.127,5.0
38042,17,70,0,64,1.6885528564453125,33.6391704082489,1.4367947578430176,0.9883,64.94,65.35,0.000176,0.000174,0.000174,64,,,
38042,17,70,1,64,1.6740245819091797,33.37966799736023,1.3631651401519775,0.9749,65.51,63.07,0.000123,0.000246,0.000246,64,0.129,0.089,5.0
38042,17,70,2,256,1.6873717308044434,9.937924861907959,1.3752710819244385,0.9831,64.96,64.19,0.000434,0.000428,0.000428,256,0.13,0.106,5.0
38042,17,70,3,64,1.679311752319336,33.33469295501709,1.460768461227417,0.9568,65.99,65.08,0.000244,0.000241,0.000241,64,0.15,0.079,5.0
38042,17,70,4,128,1.6823220252990723,17.55855107307434,1.3638932704925537,0.9857,64.71,65.23,0.000332,0.000327,0.000327,128,0.118,0.127,5.0
38042,18,70,0,64,1.6712968349456787,33.82839846611023,1.3921747207641602,0.9641,65.84,64.21,0.000174,0.000171,0.000171,64,,,
38042,18,70,1,64,1.6819512844085693,33.996588468551636,1.3586459159851074,1.0366,63.22,61.58,0.000246,0.000369,0.000369,64,0.129,0.089,5.0
38042,18,70,2,256,1.6754202842712402,10.20631742477417,1.4287962913513184,0.9618,65.8,65.29,0.000428,0.000421,0.000421,256,0.13,0.106,5.0
38042,18,70,3,64,1.6881492137908936,33.001676082611084,1.383955478668213,0.9336,66.74,65.92,0.000241,0.000237,0.000237,64,0.15,0.079,5.0
38042,18,70,4,128,1.6645479202270508,17.875531435012817,1.369422197341919,0.9667,65.59,66.05,0.000327,0.000323,0.000323,128,0.118,0.127,5.0
38042,19,70,0,64,1.6814796924591064,33.86369037628174,1.3990845680236816,0.9434,66.46,66.18,0.000171,0.000169,0.000169,64,,,
38042,19,70,1,64,1.6647307872772217,34.68330693244934,1.3895020484924316,1.0806,61.58,61.1,0.000369,0.000491,0.000491,64,0.129,0.089,5.0
38042,19,70,2,256,1.6789426803588867,9.812133073806763,1.4402930736541748,0.937,66.76,66.52,0.000421,0.000415,0.000415,256,0.13,0.106,5.0
38042,19,70,3,64,1.6765058040618896,33.978166818618774,1.397568941116333,0.9,67.88,66.83,0.000237,0.000234,0.000234,64,0.15,0.079,5.0
38042,19,70,4,128,1.6868185997009277,17.487332582473755,1.4044084548950195,0.9413,66.59,65.42,0.000323,0.000317,0.000317,128,0.118,0.127,5.0
38042,20,70,0,64,1.6787109375,34.578818798065186,1.3838880062103271,0.9212,67.24,66.36,0.000169,0.000166,0.000166,64,,,
38042,20,70,1,64,1.6846532821655273,33.43231129646301,1.3752589225769043,1.0988,61.02,60.81,0.000491,0.000614,0.000614,64,0.129,0.089,5.0
38042,20,70,2,256,1.6793277263641357,10.12400484085083,1.3591785430908203,0.9088,67.78,67.75,0.000415,0.000407,0.000407,256,0.13,0.106,5.0
38042,20,70,3,64,1.6892120838165283,33.91882276535034,1.376845359802246,0.8794,68.71,68.86,0.000234,0.00023,0.00023,64,0.15,0.079,5.0
38042,20,70,4,128,1.680727481842041,18.024697303771973,1.366328477859497,0.9216,67.27,67.41,0.000317,0.000312,0.000312,128,0.118,0.127,5.0
38042,21,70,0,64,1.6872007846832275,34.07649207115173,1.38429594039917,0.9062,67.73,67.27,0.000166,0.000163,0.000163,64,,,
38042,21,70,1,128,1.674300193786621,17.56570029258728,1.4694507122039795,0.8045,71.38,71.33,2.38e-07,9.32e-05,9.32e-05,128,0.15,0.079,5.0
38042,21,70,2,256,1.6867132186889648,9.967421770095825,1.3685169219970703,0.8863,68.33,67.25,0.000407,0.0004,0.0004,256,0.13,0.106,5.0
38042,21,70,3,64,1.6791069507598877,33.76531267166138,1.3840129375457764,0.8598,69.31,68.9,0.00023,0.000225,0.000225,64,0.15,0.079,5.0
38042,21,70,4,128,1.6921720504760742,17.127777814865112,1.3623065948486328,0.902,67.89,68.27,0.000312,0.000306,0.000306,128,0.118,0.127,5.0
38042,22,70,0,64,1.673903226852417,34.11433458328247,1.504714012145996,0.8852,68.61,68.65,0.000163,0.000159,0.000159,64,,,
38042,22,70,1,128,1.6801660060882568,17.434539079666138,1.3841657638549805,0.7928,71.91,71.0,9.32e-05,0.000186,0.000186,128,0.15,0.079,5.0
38042,22,70,2,256,1.6728453636169434,9.99728512763977,1.4407978057861328,0.8721,69.06,69.29,0.0004,0.000392,0.000392,256,0.13,0.106,5.0
38042,22,70,3,64,1.685718059539795,33.75620770454407,1.3597097396850586,0.8374,70.22,68.94,0.000225,0.000221,0.000221,64,0.15,0.079,5.0
38042,22,70,4,128,1.675163984298706,17.609421730041504,1.4130277633666992,0.8787,68.92,68.75,0.000306,0.0003,0.0003,128,0.118,0.127,5.0
38042,23,70,0,64,1.6839444637298584,35.53372526168823,1.3918941020965576,0.8672,69.27,68.79,0.000159,0.000156,0.000156,64,,,
38042,23,70,1,128,1.680816888809204,17.66378879547119,1.3756046295166016,0.8129,71.08,69.27,0.000186,0.000279,0.000279,128,0.15,0.079,5.0
38042,23,70,2,256,1.6872129440307617,10.000996112823486,1.371478796005249,0.8474,69.85,69.58,0.000392,0.000383,0.000383,256,0.13,0.106,5.0
38042,23,70,3,64,1.6815950870513916,33.25199866294861,1.3698103427886963,0.8215,70.86,70.43,0.000221,0.000216,0.000216,64,0.15,0.079,5.0
38042,23,70,4,128,1.6855552196502686,17.338945627212524,1.3693811893463135,0.8613,69.53,69.72,0.0003,0.000293,0.000293,128,0.118,0.127,5.0
38042,24,70,0,64,1.6722028255462646,34.68217325210571,1.3785028457641602,0.8516,69.86,69.55,0.000156,0.000152,0.000152,64,,,
38042,24,70,1,128,1.6840002536773682,17.524792432785034,1.4034051895141602,0.8487,70.0,67.86,0.000279,0.000372,0.000372,128,0.15,0.079,5.0
38042,24,70,2,256,1.6770305633544922,9.91114592552185,1.373316764831543,0.8273,70.77,68.57,0.000383,0.000374,0.000374,256,0.13,0.106,5.0
38042,24,70,3,64,1.6805477142333984,33.76037549972534,1.3863940238952637,0.8046,71.54,69.41,0.000216,0.000211,0.000211,64,0.15,0.079,5.0
38042,24,70,4,128,1.6792008876800537,17.657437086105347,1.4939494132995605,0.8502,70.09,69.84,0.000293,0.000287,0.000287,128,0.118,0.127,5.0
38042,25,70,0,64,1.6778435707092285,33.37567901611328,1.3584682941436768,0.836,70.48,69.89,0.000152,0.000149,0.000149,64,,,
38042,25,70,1,128,1.685988426208496,17.663111209869385,1.3574154376983643,0.8755,68.87,68.84,0.000372,0.000465,0.000465,128,0.15,0.079,5.0
38042,25,70,2,256,1.687290906906128,9.895790100097656,1.36557936668396,0.7995,71.66,70.06,0.000374,0.000365,0.000365,256,0.13,0.106,5.0
38042,25,70,3,64,1.6754062175750732,34.257938861846924,1.3788518905639648,0.7827,72.35,71.66,0.000211,0.000206,0.000206,64,0.15,0.079,5.0
38042,25,70,4,128,1.6849937438964844,17.615444898605347,1.3990528583526611,0.8218,70.81,70.06,0.000287,0.00028,0.00028,128,0.118,0.127,5.0
38042,26,70,0,64,1.6779143810272217,34.73128700256348,1.4131059646606445,0.815,71.16,70.5,0.000149,0.000145,0.000145,64,,,
38042,26,70,1,128,1.6825604438781738,18.386048316955566,1.3881373405456543,0.7107,74.88,73.97,2.61e-07,0.000102,0.000102,128,0.15,0.072,5.0
38042,26,70,2,256,1.6732094287872314,9.990215539932251,1.387948751449585,0.7837,72.2,71.22,0.000365,0.000356,0.000356,256,0.13,0.106,5.0
38042,26,70,3,64,1.6922392845153809,34.36045455932617,1.371225357055664,0.7667,72.88,70.43,0.000206,0.000201,0.000201,64,0.15,0.079,5.0
38042,26,70,4,128,1.6775486469268799,18.402418851852417,1.4373400211334229,0.8151,71.12,69.93,0.00028,0.000273,0.000273,128,0.118,0.127,5.0
38042,27,70,0,64,1.6814637184143066,33.924415588378906,1.3846275806427002,0.7989,71.81,70.26,0.000145,0.000141,0.000141,64,,,
38042,27,70,1,128,1.6773443222045898,17.37645387649536,1.4477148056030273,0.7153,74.58,71.92,0.000102,0.000204,0.000204,128,0.15,0.072,5.0
38042,27,70,2,256,1.6763956546783447,9.888097286224365,1.3704156875610352,0.7676,72.73,71.39,0.000356,0.000346,0.000346,256,0.13,0.106,5.0
38042,27,70,3,64,1.6745069026947021,33.82661414146423,1.3802838325500488,0.749,73.29,70.94,0.000201,0.000195,0.000195,64,0.15,0.079,5.0
38042,27,70,4,128,1.6871638298034668,17.400917530059814,1.3864622116088867,0.7932,71.82,71.92,0.000273,0.000265,0.000265,128,0.118,0.127,5.0
38042,28,70,0,64,1.677610158920288,33.42792725563049,1.3717176914215088,0.7855,72.23,70.95,0.000141,0.000137,0.000137,64,,,
38042,28,70,1,128,1.6828813552856445,17.48153281211853,1.3856966495513916,0.7504,73.5,72.01,0.000204,0.000306,0.000306,128,0.15,0.072,5.0
38042,28,70,2,256,1.6742241382598877,10.115577697753906,1.390763282775879,0.7487,73.53,71.27,0.000346,0.000336,0.000336,256,0.13,0.106,5.0
38042,28,70,3,64,1.688800573348999,33.379350423812866,1.3910138607025146,0.7301,74.24,72.63,0.000195,0.00019,0.00019,64,0.15,0.079,5.0
38042,28,70,4,128,1.6732079982757568,17.66472864151001,1.3888847827911377,0.7754,72.56,70.59,0.000265,0.000258,0.000258,128,0.118,0.127,5.0
38042,29,70,0,64,1.6881608963012695,34.0928680896759,1.3643074035644531,0.7675,73.06,71.84,0.000137,0.000133,0.000133,64,,,
