seed,epoch,epoch_total,member,train_batch_size,data_build_s,train_time_s,eval_time_s,loss,train_acc_pct,test_acc_pct,lr_sched_start,lr_sched_end,pbt_lr,pbt_batch_size,pbt_weight_decay,pbt_drop_path,pbt_warmup_epochs
38042,26,60,0,64,1.678300380706787,68.71777963638306,12.959103345870972,0.4326,84.83,81.32,4.9e-08,3.84e-05,3.84e-05,64,0.159,0.121,5.0
38042,26,60,1,128,1.657606601715088,65.15930724143982,12.91448187828064,0.5274,81.35,79.64,0.000188,0.000188,0.000188,128,0.254,0.157,5.0
38042,27,60,0,64,1.6890819072723389,68.68681788444519,12.911560535430908,0.4287,84.77,80.82,3.84e-05,7.67e-05,7.67e-05,64,0.159,0.121,5.0
38042,27,60,1,128,1.6615631580352783,65.19807839393616,13.022499561309814,0.511,81.88,79.78,0.000188,0.000187,0.000187,128,0.254,0.157,5.0
38042,28,60,0,64,1.6688272953033447,68.84925746917725,13.111331224441528,0.4663,83.6,79.8,7.67e-05,0.000115,0.000115,64,0.159,0.121,5.0
38042,28,60,1,128,1.7100894451141357,65.28184962272644,13.026392936706543,0.5025,82.26,79.46,0.000187,0.000186,0.000186,128,0.254,0.157,5.0
38042,29,60,0,64,1.697598934173584,68.81851172447205,13.023590564727783,0.5013,82.32,79.41,0.000115,0.000153,0.000153,64,0.159,0.121,5.0
38042,29,60,1,128,1.6762988567352295,64.75565981864929,12.970531702041626,0.4868,82.93,79.11,0.000186,0.000185,0.000185,128,0.254,0.157,5.0
38042,30,60,0,64,1.7667055130004883,68.76623225212097,12.950207710266113,0.5333,81.13,77.15,0.000153,0.000192,0.000192,64,0.159,0.121,5.0
38042,30,60,1,128,1.6812303066253662,65.28216052055359,13.068320512771606,0.4795,83.02,80.07,0.000185,0.000184,0.000184,128,0.254,0.157,5.0
38042,31,60,0,64,1.6892762184143066,68.81658101081848,13.037560939788818,0.3793,86.59,82.84,4.54e-08,3.56e-05,3.56e-05,64,0.118,0.097,5.0
38042,31,60,1,128,1.6755437850952148,65.19105792045593,13.127286195755005,0.4683,83.28,80.59,0.000184,0.000182,0.000182,128,0.254,0.157,5.0
38042,32,60,0,64,1.7477381229400635,68.233642578125,13.000070333480835,0.3696,87.0,82.36,3.56e-05,7.11e-05,7.11e-05,64,0.118,0.097,5.0
38042,32,60,1,128,1.6730186939239502,65.10632061958313,12.939664363861084,0.4553,83.98,79.88,0.000182,0.00018,0.00018,128,0.254,0.157,5.0
38042,33,60,0,64,1.8533203601837158,68.7062783241272,12.865074872970581,0.4007,85.81,81.19,7.11e-05,0.000107,0.000107,64,0.118,0.097,5.0
38042,33,60,1,128,1.6763665676116943,65.0050938129425,12.88725733757019,0.4418,84.4,80.74,0.00018,0.000178,0.000178,128,0.254,0.157,5.0
38042,34,60,0,64,1.692828893661499,68.60520601272583,12.934439182281494,0.429,84.83,77.98,0.000107,0.000142,0.000142,64,0.118,0.097,5.0
38042,34,60,1,128,1.6792144775390625,65.24726486206055,12.966030359268188,0.4294,84.97,80.55,0.000178,0.000176,0.000176,128,0.254,0.157,5.0
38042,35,60,0,64,1.6796033382415771,68.6346046924591,12.864626169204712,0.4681,83.49,80.22,0.000142,0.000178,0.000178,64,0.118,0.097,5.0
38042,35,60,1,128,1.6853251457214355,65.12906408309937,12.867823362350464,0.4189,85.15,81.3,0.000176,0.000173,0.000173,128,0.254,0.157,5.0
38042,36,60,0,64,1.6643507480621338,68.58231806755066,12.871908187866211,0.3213,88.71,83.24,4.98e-08,3.9e-05,3.9e-05,64,0.148,0.09,5.0
38042,36,60,1,128,1.6635258197784424,64.84279417991638,13.016814708709717,0.4047,85.71,81.54,0.000173,0.00017,0.00017,128,0.254,0.157,5.0
38042,37,60,0,64,1.7014565467834473,68.70398354530334,12.998350620269775,0.3239,88.72,82.54,3.9e-05,7.79e-05,7.79e-05,64,0.148,0.09,5.0
38042,37,60,1,128,1.6234333515167236,64.8977541923523,12.816590070724487,0.3905,86.22,81.77,0.00017,0.000167,0.000167,128,0.254,0.157,5.0
38042,38,60,0,64,1.6780240535736084,68.66231322288513,13.061875343322754,0.3609,87.23,82.15,7.79e-05,0.000117,0.000117,64,0.148,0.09,5.0
38042,38,60,1,128,1.6599178314208984,65.13719415664673,13.096652030944824,0.3901,86.13,81.41,0.000167,0.000163,0.000163,128,0.254,0.157,5.0
38042,39,60,0,64,1.677201271057129,68.98954653739929,12.9399573802948,0.403,85.55,80.6,0.000117,0.000156,0.000156,64,0.148,0.09,5.0
38042,39,60,1,128,1.668304681777954,64.84248304367065,13.140109300613403,0.3728,86.63,82.79,0.000163,0.000159,0.000159,128,0.254,0.157,5.0
38042,40,60,0,64,1.7897167205810547,68.74547553062439,13.044091701507568,0.4491,84.04,80.09,0.000156,0.000195,0.000195,64,0.148,0.09,5.0
38042,40,60,1,128,1.665818214416504,65.1526370048523,13.005293130874634,0.3623,87.07,81.84,0.000159,0.000156,0.000156,128,0.254,0.157,5.0
38042,41,60,0,128,1.7060065269470215,65.11997318267822,12.909087896347046,0.2766,90.31,83.99,7.71e-08,3.02e-05,3.02e-05,128,0.192,0.119,5.0
38042,41,60,1,128,1.6707839965820312,65.17046189308167,13.04554796218872,0.3515,87.39,82.21,0.000156,0.000151,0.000151,128,0.254,0.157,5.0
38042,42,60,0,128,1.6903035640716553,65.31695437431335,13.046743392944336,0.2537,91.06,83.87,3.02e-05,6.03e-05,6.03e-05,128,0.192,0.119,5.0
38042,42,60,1,128,1.678081750869751,65.46298837661743,13.095432996749878,0.3357,88.09,81.64,0.000151,0.000147,0.000147,128,0.254,0.157,5.0
38042,43,60,0,128,1.7001163959503174,65.18561339378357,12.950693130493164,0.255,90.98,83.44,6.03e-05,9.05e-05,9.05e-05,128,0.192,0.119,5.0
38042,43,60,1,128,1.6904966831207275,65.21226215362549,12.995945930480957,0.3309,88.23,82.21,0.000147,0.000143,0.000143,128,0.254,0.157,5.0
38042,44,60,0,128,1.7306125164031982,64.90136218070984,13.031830787658691,0.2817,90.01,83.33,9.05e-05,0.000121,0.000121,128,0.192,0.119,5.0
38042,44,60,1,128,1.689002275466919,65.2434732913971,13.046884775161743,0.3138,88.87,82.41,0.000143,0.000138,0.000138,128,0.254,0.157,5.0
38042,45,60,0,128,1.7051451206207275,65.03972434997559,12.9049711227417,0.3121,88.97,81.33,0.000121,0.000151,0.000151,128,0.192,0.119,5.0
