seed,epoch,epoch_total,member,train_batch_size,data_build_s,lr_sched_start,lr_sched_end,train_time_s,eval_time_s,loss,train_acc_pct,test_acc_pct,pbt_lr,pbt_weight_decay,pbt_drop_path,pbt_warmup_epochs,pbt_batch_size
38042,5,70,3,256,1.5726730823516846,0.000253,0.000316,24.882221460342407,2.198965549468994,1.4976,45.48,47.55,0.0003155456675032866,0.3398308014407791,0.20632463667325823,5,256
38042,5,70,4,256,1.5688717365264893,0.000286,0.000357,25.069647550582886,2.194180965423584,1.5027,44.86,46.84,0.0003565125943597626,0.4336340708432141,0.25432892395471046,5,256
38042,6,70,0,256,1.5735464096069336,2.55e-07,5.03e-05,24.995186805725098,2.3040547370910645,1.3732,50.37,51.95,0.0002502213586795585,0.2354276243690006,0.32647451212245726,5,256
38042,6,70,1,256,1.5737860202789307,0.000261,0.000261,25.430089235305786,2.215258836746216,1.4612,46.93,50.26,0.0002610457762689696,0.4351200264873825,0.2988852362414701,5,256
38042,6,70,2,256,1.6239550113677979,0.000466,0.000466,25.298576593399048,2.3429644107818604,1.4218,48.33,50.77,0.00046580972075259094,0.08322155840047196,0.21704259365986278,5,256
38042,6,70,3,256,1.7423515319824219,0.000316,0.000315,24.912054300308228,3.191319465637207,1.4338,47.88,50.5,0.0003155456675032866,0.3398308014407791,0.20632463667325823,5,256
38042,6,70,4,256,1.668445348739624,0.000357,0.000356,25.141125202178955,2.759995222091675,1.4421,47.58,49.83,0.0003565125943597626,0.4336340708432141,0.25432892395471046,5,256
38042,7,70,0,256,1.57710862159729,5.03e-05,0.0001,25.782474279403687,2.2759342193603516,1.3209,52.01,51.3,0.0002502213586795585,0.2354276243690006,0.32647451212245726,5,256
38042,7,70,1,256,1.6167969703674316,0.000261,0.00026,25.538357257843018,2.2167913913726807,1.3983,49.14,51.01,0.0002610457762689696,0.4351200264873825,0.2988852362414701,5,256
38042,7,70,2,256,1.577817678451538,0.000466,0.000465,25.23979163169861,2.196589708328247,1.3734,50.25,52.44,0.00046580972075259094,0.08322155840047196,0.21704259365986278,5,256
