epoch 037/70 | loss 0.6412 | train_acc 77.35% | test_acc 75.96% | dl_time 0.78s | train_time 3.05s | eval_time 0.44s
epoch 038/70 | loss 0.6338 | train_acc 77.33% | test_acc 76.76% | dl_time 0.78s | train_time 3.01s | eval_time 0.45s
epoch 039/70 | loss 0.6203 | train_acc 78.09% | test_acc 76.85% | dl_time 0.78s | train_time 2.99s | eval_time 0.45s
epoch 040/70 | loss 0.6061 | train_acc 78.55% | test_acc 76.25% | dl_time 0.78s | train_time 3.00s | eval_time 0.44s
epoch 041/70 | loss 0.5956 | train_acc 78.77% | test_acc 76.78% | dl_time 0.78s | train_time 3.02s | eval_time 0.44s
epoch 042/70 | loss 0.5878 | train_acc 79.06% | test_acc 77.53% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
epoch 043/70 | loss 0.5799 | train_acc 79.45% | test_acc 77.66% | dl_time 0.78s | train_time 3.02s | eval_time 0.44s
epoch 044/70 | loss 0.5660 | train_acc 79.86% | test_acc 77.98% | dl_time 0.78s | train_time 2.99s | eval_time 0.44s
epoch 045/70 | loss 0.5611 | train_acc 80.17% | test_acc 78.13% | dl_time 0.78s | train_time 2.98s | eval_time 0.44s
epoch 046/70 | loss 0.5532 | train_acc 80.42% | test_acc 77.76% | dl_time 0.78s | train_time 3.00s | eval_time 0.44s
epoch 047/70 | loss 0.5420 | train_acc 80.90% | test_acc 78.09% | dl_time 0.78s | train_time 3.00s | eval_time 0.44s
epoch 048/70 | loss 0.5362 | train_acc 81.06% | test_acc 78.30% | dl_time 0.78s | train_time 2.99s | eval_time 0.44s
epoch 049/70 | loss 0.5266 | train_acc 81.45% | test_acc 78.34% | dl_time 0.78s | train_time 3.00s | eval_time 0.44s
epoch 050/70 | loss 0.5186 | train_acc 81.58% | test_acc 78.24% | dl_time 0.78s | train_time 2.99s | eval_time 0.44s
epoch 051/70 | loss 0.5125 | train_acc 81.89% | test_acc 78.09% | dl_time 0.78s | train_time 3.04s | eval_time 0.44s
epoch 052/70 | loss 0.5019 | train_acc 82.16% | test_acc 79.06% | dl_time 0.78s | train_time 3.02s | eval_time 0.44s
epoch 053/70 | loss 0.4927 | train_acc 82.59% | test_acc 78.77% | dl_time 0.78s | train_time 3.01s | eval_time 0.45s
epoch 054/70 | loss 0.4911 | train_acc 82.46% | test_acc 78.79% | dl_time 0.78s | train_time 3.14s | eval_time 0.48s
epoch 055/70 | loss 0.4779 | train_acc 83.02% | test_acc 79.05% | dl_time 0.78s | train_time 3.00s | eval_time 0.43s
epoch 056/70 | loss 0.4705 | train_acc 83.19% | test_acc 78.91% | dl_time 0.78s | train_time 3.00s | eval_time 0.43s
epoch 057/70 | loss 0.4680 | train_acc 83.46% | test_acc 79.15% | dl_time 0.78s | train_time 3.10s | eval_time 0.48s
epoch 058/70 | loss 0.4593 | train_acc 83.66% | test_acc 79.36% | dl_time 0.78s | train_time 3.24s | eval_time 0.43s
epoch 059/70 | loss 0.4549 | train_acc 84.01% | test_acc 79.41% | dl_time 0.78s | train_time 2.92s | eval_time 0.43s
epoch 060/70 | loss 0.4501 | train_acc 84.34% | test_acc 79.67% | dl_time 0.78s | train_time 2.92s | eval_time 0.43s
epoch 061/70 | loss 0.4435 | train_acc 84.28% | test_acc 78.98% | dl_time 0.78s | train_time 2.94s | eval_time 0.43s
epoch 062/70 | loss 0.4434 | train_acc 84.35% | test_acc 79.33% | dl_time 0.78s | train_time 2.93s | eval_time 0.43s
epoch 063/70 | loss 0.4348 | train_acc 84.60% | test_acc 79.49% | dl_time 0.78s | train_time 2.93s | eval_time 0.44s
epoch 064/70 | loss 0.4314 | train_acc 84.83% | test_acc 79.36% | dl_time 0.78s | train_time 2.94s | eval_time 0.44s
epoch 065/70 | loss 0.4274 | train_acc 84.79% | test_acc 79.59% | dl_time 0.78s | train_time 2.93s | eval_time 0.43s
epoch 066/70 | loss 0.4195 | train_acc 85.24% | test_acc 79.46% | dl_time 0.78s | train_time 2.93s | eval_time 0.43s
epoch 067/70 | loss 0.4202 | train_acc 85.18% | test_acc 79.50% | dl_time 0.78s | train_time 2.94s | eval_time 0.43s
